scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags,income_limit,age_limit,category_req,state_req
Maternity Benefits Scheme (BBOCWWB),mbsbbocwwb,"""Maternity Benefits Scheme"" by the Bihar Building & Other Construction Workers' Welfare Board, Labour Resources Department, Government of Bihar, provides an amount equivalent to 90 days of the minimum wages set by the State Government for unskilled workers at the time of childbirth. This benefit is applicable for the first two deliveries. The applicant should be a female construction worker who has completed one year of membership with the Board.",Financial assistance equivalent to 90 days of the minimum wages set by the State Government for unskilled workers.,The applicant should be female. The applicant should be registered with the Bihar Building & Other Construction Workers Welfare Board (BBOCWWB). The applicant should have completed at least one year of membership with the Board. The membership must be active at the time of application. The benefits will be provided for the first two childbirths.,"Registration Step 1: Visit the Official Website of the Bihar Building and Other Construction Workers Welfare Board, and click "" Apply for New Registration "". Step 4: On the next page, provide your details including your Aadhaar Number. Then click ""Authenticate"". Step 5: An online form will appear. In the form, fill in all the mandatory fields. The fields marked with an asterisk (*) are mandatory. Step 6: Click ""Submit"". Proceed to pay the application fee online. Step 7:  Upon successful payment, you will receive your construction worker registration number. Application Step 1:  Visit the Official Website of the Bihar Building and Other Construction Workers Welfare Board. Step 2: Click on "" Scheme Application "" and select "" Apply for Scheme "". Step 3:  Enter your registration number and click ""Show"" to view your details. Step 4:  Select the scheme you intend to apply for, enter all mandatory information and upload the necessary documents in the specified format and size. Step 6:  Click on ""Submit Application"" to complete the process. Application Tracking Applicants can track their application status online on the official website of the Board by providing their registration number.",Identity Card of the Registered Worker Bank Account Details Birth Certificate Proof of Membership Proof of Age at the Time of Registration Any Other Documents as Required ﻿,State,"Women and Child, Social welfare & Empowerment, Health & Wellness",,"Construction, Building, Woman, Labour, Maternity, Worker",,,,
Matrutva Prasuvidha Yojana,mpy,"""Matrutva Prasuvidha Yojana"" is a Medical Assistance scheme by the Department of Labour, Employment, Training & Skill Development Govt of Jharkhand. This is a 100% State Sponsored Scheme. Only the residents/domicile of the state of Jharkhand can apply to this scheme. Applications for this scheme are accepted online through the official website of the department. The scheme provides financial assistance of ₹ 15,000/- for the first two deliveries of the registered female worker.","The scheme provides financial assistance of ₹ 15,000/- for the first two deliveries of the registered female worker.","The applicant should be a domicile in the state of Jharkhand. The applicant should be a female. The applicant should be pregnant. The applicant should be a Worker registered with the 'Jharkhand Building and Other Construction Worker Welfare Board (JBOCWW Board)'. The applicant should be between 18-60 years of age. The applicant should be engaged in construction work such as masons, carpenters, electricians, porters, painters, etc. The scheme is applicable only for the first two deliveries.","Registration: Step 1: Visit the Official website of Comprehensive Labour Management System for Factory Establishment / Worker Registration / Inspection / Management & Grievance Redressal; Department of Labour, Employment, Training & Skill Development; Govt. of Jharkhand. Step 2: At the top right corner, click ""Login"". On the pop-up screen, click ""Register Here"". Step 3: On the next page, a Registration Form will appear. Provide the following mandatory details: First Name, Last Name, Email, and Mobile. Create a Username and a Password. Confirm the Password. Fill in the Captcha Code. Click ""Register"". Your Mobile Number and Email ID will be verified via One Time Password (OTP). Upon successful verification of the OTP, your registration will be successful. The Login Credentials will be sent to your registered Email ID and Mobile Number. ﻿ Application: Step 1: Visit the Official website of Comprehensive Labour Management System for Factory Establishment / Worker Registration / Inspection / Management & Grievance Redressal; Department of Labour, Employment, Training & Skill Development; Govt. of Jharkhand. Step 2: At the top right corner, click ""Login"". Fill in your Username and Password. Click ""Login"". Step 3: In the ribbon, click ""Services > BOC Scheme Benefit > Application Form. On the next page, the ""Scheme Benefit Form"" (Application Form) will open. a)   In the ""Basic Details"" section, fill in the mandatory fields (fields ending with a red asterisk mark): BOC Registration Number, Applicant's Name, Applicant's Father's Name / Husband's Name, Applicant's Date of Birth, Applicant's Aadhaar Number, District, Sex. b)   In the ""Select Scheme"" section, select the scheme from the list that you wish to apply for. c)   In the ""Upload Section"", upload the mandatory documents (those ending with a red asterisk mark) in the specified file size and file type. Step 4: Finally, click on ""Submit Request"" to submit your application. On the next page, your ""Application ID"" will be displayed, confirming the successful submission of the application. Please note down this Application ID for future reference. The Application ID will also be sent to your registered Email ID. ﻿ Check Application Status: Step 1: Once submitted, the application goes for 3-level approval: Clerk > Labour Superintendent > DLC. Step 2: Go to Services > BOC Scheme Benefit > Application Status. Step 3: On the next page, fill in your Application ID, and click ""Search"". The status of your application will be displayed in a tabular format: Application ID, Applicant Name, Scheme Applied, Application Status, Remarks, Date, and Time. Step 4: Once the DLC approves the application, the ""Application Status"" changes to ""Approved"". The Applicant can take print of this page by clicking “PRINT” and submit the same at the Labour Office to avail of the scheme benefit.",Aadhaar Card Residential Certificate / Domicile Certificate Proof of Identity eSHRAM Card Passport Sized Photograph Proof of Registration as a Construction Worker Details of the Bank Account Income Certificate Proof of the Pregnancy,State,Health & Wellness,,"Pregnancy, Women, Hospitalization",,,,
Medical Aid Scheme (Ayushman Bharat Scheme 'Niramaya') (MPBOCWWB),masabsn,"The ""Medical Aid Scheme (Ayushman Bharat Scheme 'Niramaya')"" under the Labour Department, Government of Madhya Pradesh, provides free medical treatment up to ₹5,00,000/- per year to the registered workers and their families in approved hospitals.","Free medical treatment up to ₹5,00,000/- per year.","For Registration The applicant should be a resident of Madhya Pradesh. The applicant should be a Building/ Construction Worker. The applicant should be between 18 and 60 years. The applicant should have engaged in any building or other construction work for at least 90 days during the preceding 12 months. The registration of the applicant should be renewed annually. For Application The applicant should be a female construction worker with a valid identity card, in case of maternity. The applicant should be a male construction worker with a valid identity card, in case of his wife's delivery.","Step 1: Go to the Shram Seva Portal (MPBOCWWB) official website. ﻿ Step 2: On the homepage, find and click on ""Registration of Construction Worker."" Step 3: Select the option "" Apply online for registration as a beneficiary."" Step 4: Enter your Composite Member ID and Samagra Family ID, then click Get Details. Step 5: Your family or beneficiary details will be displayed on the screen. Step 8: Complete the form by entering all required details (marked with *). Step 9: Upload all necessary documents, such as ID proof and other relevant certificates. Step 10: After completing the form and uploading the documents, click Submit and pay the application fee online. Step 11: You will receive a registration number after successful payment and submission.","Identity Proof (e.g., Aadhaar Card) Passport-size Photograph Proof of Residence (e.g., Utility bill, Voter ID, etc.) Ration Card (optional) Bank Account Details (e.g., Copy of Bank Passbook) Caste Certificate (if applicable) Undertaking/Declaration Age Certificate Valid Identity Cards Employment Certificate Signature Any other documents as required",State,Health & Wellness,,"Building, Construction, Medical, Labour, Financial Assistance, Insurance, Worker",,,,
Medical Assistance (A.B.O.C.W.W.B),ma-abocwwb,"The scheme “Medical Assistance” was started by the Assam Building and Other Construction Workers Welfare Board (A.B.O.C.W.W.B), Labour Welfare Department, Government of Assam. Under this scheme, medical assistance shall be provided to the Building & Other Construction Workers who are registered under A.B.O.C.W.W.B during hospitalization, partial disability, and for critical diseases such as Cancer, Heart attack (bypass surgery), Failure of kidney (kidney transplantation), Liver cirrhosis, etc. as per decision of the Board. Medical assistance shall be provided to the beneficiaries immediately after registration.","Medical Assistance: ₹1,000/- per day for the first 5 days hospitalized + ₹200/- each for the remaining days of hospitalized subject to maximum ₹20,000/-. Registered beneficiaries also avail of partial disability benefits of ₹25,000/-, ₹50,000/-, ₹75,000/- and ₹1.50 Lakhs on the percentage of disability upto 25%, upto 50%, upto 80% and more than 80% respectively. Financial assistance of ₹1.50 Lakh for critical diseases such as Cancer, Heart attack (bypass surgery), Failure of the kidney (kidney transplantation), Liver cirrhosis, etc. shall be given to registered beneficiaries as per the decision of the Board.","The applicant should be a permanent resident of Assam. The applicant should be engaged in any building & other construction work. The construction worker should be registered with the Assam Building and Other Construction Workers Welfare Board. The applicant should have an active membership with the Board. The worker who is hospitalized or has partial disability due to an accident or is suffering from critical diseases such as cancer, heart attack, failure of kidney, etc., can avail of the benefits under the scheme.","Registration Process under Assam Building and Other Construction Workers Welfare Board: Step 01: The eligible building & other construction workers can submit an online application through the official website: https://abocwwb.assam.gov.in/ ﻿ Step 02: On the home page, click on ‘ Registration Page for New Worker ’ and a registration page will open. Fill in all the mandatory details and upload all the required documents. Step 03: After filling out the form, a payment option shall then prompt to allow the applicant to make the payment using UPI-based modes/Cards/net banking or even Challan. Post-Registration Process: Step 01: The registering officer shall be notified of the applications successfully submitted and the Registering officer shall scrutinize the applications. Step 02: The Registering Officer shall arrange for a scrutiny committee meeting every 15 days and place all applications received. Step 03: The committee may recommend for approval, reject, or query the application. In case of queries, an SMS shall be sent to the applicant with a brief on the query. The applicant may re-upload the requisite documents as per the query raised by the Registering officer. Notification to the worker through SMS; ID generation: Applications if approved shall be notified through SMS and ID card shall be generated automatically for approved applications. The applicant shall be notified for each stage such as queries, rejection, and allied. ﻿ Application Process to apply under the scheme: Step 01: Only active registered construction workers may login in through ID No./registered phone number and apply through the portal. https://abocwwb.assam.gov.in/ ﻿ Step 02: On the home page of the portal, click on ‘ Login Now ’ and enter the Mobile Number or User ID. OTP received on the registered mobile number should be entered to complete the login. Step 03: The individual console of the applicant gets opened with various functions such as detail updating, Fees due, and benefits eligible. Step 04: Click on ‘Benefit’ and select the applicable scheme under the benefit and the portal redirects to an online application form specific to the scheme. Step 05: The applicant may fill up the application with all mandatory fields and upload the necessary documents. Step 06: The applicant submits the application form and a tracking/reference number is generated as a future reference for the applicant. Post-Application Process: Step 01: Successfully submitted applications pop up in the concerned Officers console. The officer may assign a subordinate to make verifications through the portal. Step 02: Subsequent to preliminary verification, the application is placed in the scrutiny committee for detailed checks. Step 03: Minutes of the Scrutiny Committee meeting get uploaded and Forwarded to the H.O. Step 04: Applications/ Pops up in the Officer’s Console of Head Office. Officer assigns to the Assistant concerned and allotted with the District concerned. Step 05: The assistant processes the application through PFMS. Account details get auto-verified in PFMS. Step 06: On successful PFMS verification, Print Advice is generated through PFMS. Step 07: Approving authority approves for disbursement of the benefit through PFMS. ( User Manual )",Documents required for Registration under A.B.O.C.W.W.B: Passport size photograph (Applicant and Nominee) Proof of Age/DOB Copy of Aadhaar Card Copy of Voter ID Card Bank passbook first page Experience Certificate/Employers Certificate (90 days working record to check eligibility) Completely filled Nomination Form ﻿ Completely filled Registration Form ﻿ Any other relevant documents Documents required for Grant of Scheme: ABOCWWB ID Card Attested Copy of ID Card Copy of Payslip of Account Pay book Showing Monthly Contribution Deposited Accident report from the Employer/Principal Employer/Local Police Authority Bank passbook first page All documents of treatment in the Government Hospital Photo of the part of the person affected due to the accident Percentage of Disability Certificate from the Appropriate Authority Any other relevant documents,State,"Health & Wellness, Social welfare & Empowerment",,"Medical, Construction Worker, Hospital, Partial Disability, Critical Diseases, Labour",,,,
Medical Assistance (ANBOCWWB),maanbocwwb,"The scheme “Medical Assistance” was started by the Andaman & Nicobar Islands Building and Other Construction Workers Welfare Board (ANBOCWWB), Department of Labour, Employment & Training, Andaman & Nicobar Administration. Under this scheme, medical assistance shall be provided to the Building & Other Construction Workers, who are registered under the A&N Islands Building and Other Construction Workers Welfare Board, and his/her dependents' family members during hospitalization because of an accident or illness.","Medical assistance will be provided to the beneficiaries @ ₹200/- per day for the first 5 days of hospitalization and ₹100 per day for the remaining days subject to a maximum of ₹5,000/-. The beneficiary shall be entitled to ₹1,00,000/- in the event of medical referred cases to the Mainland of the beneficiary or his/her dependents to the Mainland by the Govt. Medical Authorities for treatment. Subject to production of a referral letter from competent authority ₹1,000/- for Beneficiary or their ""Family"" in case of emergency treatment in a hospital operating in Andaman & Nicobar Islands (once in a year). Subject to the production of referral remarks by Govt. Hospital/PHC in outer Islands ₹600/- per day for the period of their stay in Port Blair subject to a maximum of ₹15,000/- (Medical referral cases from outer Islands of Andaman & Nicobar Islands to Port Blair).","The beneficiary should be a resident of the Union territory of Andaman & Nicobar Islands. The beneficiary should be engaged in a building or other construction work. The beneficiary should be registered under the A&N Islands Building and Other Construction Workers Welfare Board. The beneficiary should have an active membership of the Board. To avail medical assistance under the scheme, either the beneficiary or their dependent should be hospitalized due to an accident or illness. Note 01: The beneficiaries are required to produce a medical certificate Note 02: The beneficiaries are required to produce a referral letter from the competent authority.","Portal Registration Process: Step 01: Visit online Portal: https://serviceonline.gov.in/login.do ﻿ Step 02: On the home page, click on ‘ Register ’ and fill in all the mandatory details. Step 03: Click on the ‘Submit’ button and validate your Email ID & Mobile Number using OTP received. Step 04: After successful validation, the applicant will be registered. Registration Process of Construction Workers under A&N Islands Building & Other Construction Workers Welfare Board: Step 01: Applicant can login through their email ID that is used while registering Step 02: Enter Password & Captcha Step 03: Click on ‘ Login ’ Step 04: After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’ Step 05: Now, search for the “Registration of Construction Workers in AN BOCWWB” and then click to proceed registration process. Step 06: Fill in all the mandatory details and upload all the relevant documents. Step 07: Preview the form and click on ‘Submit’. Step 08: After successful registration, the applicant will receive a registration ID. Application Process for Medical Financial Assistance: Step 01: Now, to avail the benefits of the scheme, the applicants can login through their email ID that is used while registering Step 02: Enter Password & Captcha Step 03: Click on ‘Login’ Step 04: After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’ Step 05: Now, search for the ‘Medical Financial Assistance’ and click on the scheme to proceed to fill out the application form. Step 06: Fill in all the mandatory details and upload all the mandatory documents. Step 07: Preview the application form and click on ‘Submit’. Application Tracking: Step 01: To track the application status, the applicant can visit the online Portal and login through their ‘User ID’ & ‘Password’. Step 02: On the home page, click on “View Application Status’ and then click on ‘Track Application Status’. Step 03: Enter the Application Reference Number and click on ‘Get Data’ to know the status of your application.","Documents required for registration under A&N Islands Building & Other Construction Workers Welfare Board: Passport size photograph Proof of age Identity proof Details of EPF, if any Proof of address 90 Days Work Duration Certificate issued by the competent authority Bank account details Any other document as required Documents required for Welfare Scheme: Registration ID Card Medical certificate Referral letter from the competent authority, if any Treatment Bills (Originals) Latest Subscription Receipt Bank account details/Copy of passbook Any other document as required",State,"Health & Wellness, Social welfare & Empowerment",,"Medical Assistance, Building Worker, Construction Worker, Labour, Hospital",,,,
Medical Assistance (APB&OCWWB),maapbandocwwb,"The scheme “Medical Assistance” was started by the Department of Labour and Employment, Govt. of Arunachal Pradesh for registered workers of the Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB). The state government has proposed and implemented this scheme through the APB&OCWWB for providing medical assistance to registered workers who are hospitalized for five or more than five days due to accident or disease.","₹ 2000/- only for the first five days. ₹100/- each for the remaining days subject to a maximum of ₹15,000/- if disability occurs due to accident. Additional benefits up to a maximum of ₹25,000/- depending upon the percentage of disability.",1.	The applicant should be a permanent resident of Arunachal Pradesh. 2.	The applicant must be employed in the Building and Other Construction works. 3.	The applicant should be registered with Labour Welfare Board (APB&OCWWB). 4.	The applicant’s membership must be active at the time of application. 5.	The applicant must have a disease or had an accident for which he/she should be hospitalised or put in plaster at his/her residence.,"Registration Process: Step 01: The applicant needs to be registered as the Labour/Worker under the Arunachal Pradesh Building & Other Construction Workers Welfare Board (APB&OCWWB). Step 02: The applicant can obtain the application form from the Registered Office, APB&OCWWB of the respective District, and can also be downloaded from the official website of the Department of Labour and Employment. Step 03: The applicant must ensure that the filled information should be correct before submitting the application form to the concerned office. Step 04: After successful verification, the applicant will be registered as a worker/labour under Board and an Identity Card to be issued to him/her. ﻿ Application Process: Step 01: For taking benefit of this scheme, the applicant needs to contact Registering Officers, APB&OCWWB of the respective District. Step 02: Application in the prescribed format may be received from the concerned office. Step 03: The applicant needs to fill the application form completely and attach all the relevant documents. Thereafter, the applicant may submit the application form to the concerned office. Step 04: After successful verification, the applicant can avail the benefit of the scheme.","Identity proof i.e. Aadhaar Card, Voter ID card, etc. Original copy of registration card /membership card of the board Application form Bank Account number/ front page of the passbook Passport-size photographs Address proof",State,Health & Wellness,,"Construction Worker, Accident, Disease, Financial Assistance, Medical Assistance",,,,
Medical Assistance (GBOCWWB),ma-gbocwwb,"""Medical Assistance (GBOCWWB)"" is a Welfare Scheme by the Goa Building and Other Construction Workers Welfare Board of the Department of Labour and Employment, Government of Goa. Through this scheme, the worker who is hospitalized for 5 or more days due to an accident or any disease is provided with ₹400/- for the first 5 days and ₹40/- for the remaining days, subject to a maximum ₹2,000/-.","Financial Assistance of ₹400/- for the first 5 days. Financial Assistance of ₹40/- for remaining days, subject to a maximum of ₹2,000/-.",The applicant should be a Worker. The worker should be between 18 to 60 years of age. The worker should have completed ninety days of service as a registered worker in the year. The applicant should be registered with the Goa Building and Other Construction Workers Welfare Board. The applicant should have been hospitalized for five or more days. The cause of the hospitalization should be an accident or disease. The unregistered workers/ their dependents shall be eligible upon the production of a certificate from the builder or Inspector of the area stating that he/she is a building worker.,"Step 1: The interested applicant should take print of the prescribed format of the application form for the scheme from the Official Website of the Department of Labour and Employment, Goa. OR The interested applicant should visit the Office of the Commissioner, Labour & Employment, 2nd Floor, Sharma Shakti Bhavan, Patto Plaza, Panaji-Goa (0832-2437081/82/83, com-labo.goa@nic.in) and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: The interested applicant should submit the duly filled and signed application form and the documents to the concerned authority at the Office of the Commissioner, Labour & Employment. Step 4: A receipt of the application will be assigned to the applicant by the concerned authority.","Worker Registration Card/Number. Receipt of Payment of First & Last Subscription with the Board. Proof of Hospitalization (Medical Certificate/ Hospital Bills). Disability Certificate, in the case of disability caused by the Accident/Disease/Surgery. Certificate from the Builder or Inspector of the Area, in the case of unregistered workers/ their dependents.",State,"Social welfare & Empowerment, Health & Wellness",,"Patient, Accident, Disease, Surgery, Medical, Labour",,,,
Medical Assistance (Karmika Arogya Bhagya) (K.B.O.C.W.W.B),makabbocwwb,"The ""Medical Assistance (Karmika Arogya Bhagya)'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, registered construction workers and their dependents are eligible for monetary support during hospitalisation for treatment in government, private, or hospitals recognised under any insurance scheme of the State Government. The assistance shall be towards hospitalisation for a minimum of 48 hours continuously.","Financial Coverage: ₹300/- per day to the maximum of  ₹20,000/- for a continuous period of Hospitalization subject to actuals. Note:  The assistance shall be towards hospitalisation for a minimum of 48 hours continuously.","For Registration as a Building/ Construction Worker: The applicant should be a Building/ Construction Worker (Unorganised Worker). The applicant should be a minimum of 18 years of age. The applicant should have engaged in building and construction work for at least 90 days in a given year. For the Application of the Welfare Scheme: The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka or his/her dependents. The beneficiary must be hospitalized for at least 48 continuous hours. Treatment must be conducted in a government, private, or State Government recognised insurance scheme hospital.","Registration Process as a Building/ Construction Worker: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”. Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP. Step 3: From the dashboard, click on “Registration”. Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process. Application Process of the Welfare Scheme: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page). Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents. Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process. Renewal Process: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents. Step 4: Review the details and click on “Submit” to complete the renewal process. Note: Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid. Timeline: Application can be submitted within 6 months of hospitalisation commencement date. Helpdesk: Karnataka Building And Other Construction Workers Welfare Board, Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29. Office No: 080-29753078 E-mail: labour.commissioner42@gmail.com ﻿ List of District Office. ﻿ ﻿ List of Taluk Offices. ﻿",For Registration as a Building/ Construction Worker: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) / V(D) ). Aadhar Card (Self-Attested). Ration Card(non-mandatory). Age Proof (Voter ID Card/Aadhar Card). For the Application of the Welfare Scheme: Discharge Summary. Form 22A. Treatment Bill. Self Declaration Form. Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) / V(D) ). For the Renewal Process: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) / V(D) ).,State,Health & Wellness,,"Labour, Building Worker, Construction Worker, Medical Assistance, Hospitalisation",,,,Karnataka
Medical Assistance (MBOCWWB),mambocwwb,"The scheme “Medical Assistance” is a social security scheme, implemented by the Meghalaya Building and Other Construction Workers Welfare Board (MBOCWWB), Labour Department, Government of Meghalaya. Under the scheme, the Board shall provide financial assistance to registered construction workers who are hospitalized for five or more days due to an accident or any disease.","The financial assistance shall be ₹200/- for first 5 days and ₹20/- each for the remaining days subject to a minimum ₹1,000/-. This assistance shall also be given to the beneficiary who meets with an accident and is put in plaster at the residence. If disability resulted due to an accident, the worker shall be eligible for financial assistance upto a maximum ₹5,000/- depending upon the percentage of disability.",The beneficiary should be a resident of Meghalaya. The beneficiary should be engaged in a building or other construction work. The beneficiary should be registered under the Meghalaya Building & Other Construction Workers Welfare Board. The beneficiary should have an active membership of the Board. The registered construction workers who are hospitalized for five or more days due to an accident or any disease are eligible to apply under the scheme.,"Online Worker Registration Process (Portal): Step 01: The applicants may visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: The applicant can register by creating a new account, on the home page click on the ‘Worker’ button and enter all the mandatory information. Step 03: After filling in all the details, click on ‘Register’. Step 04: After successful registration, the applicant will see the message “Registered Successfully”. Application Process for New Registration under the MBOCWWB: Step 01: Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: Enter your User ID (Registered Mobile Number), Password, and Enter Security Code. Click on Login. Step 03: After successful login, click on ‘Apply for New Registration’ from the menu. Step 04: Fill in all the required details in the Registration Form i.e. Personal Details, Service/Work Details, Bank Details, and Demographic Details, etc. Step 05: Click on Submit. Step 06 : After successful registration, you will be directed to another page to manage all the Family & Nominee Details. Click on ‘Add New’ to add Family members and Nominee Details. Step 07: After adding all the Family & Nominee Details, click on Proceed. Step 08: Now upload all the required enclosures i.e. Photograph, ID Proof, Employer Certificate/Self Certification, Bank Passbook of the Worker. Step 09: Click on the 'Complete' Button to complete the registration process. Step 10: Once your application has been processed and verified by Block/District LDA, Block/District Labour Inspector, and approved District Labour Commissioner (DLC), a Registration Certificate will be generated. Application Process for Medical Benefit: Step 01 : Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm Step 02: Enter your User ID (Registered Mobile Number), Password, and Enter Security Code. Click on Login. Step 03: After successful login, click on the “Medical Benefit” scheme from the Dashboard. Step 04: Fill in all the required information and necessary enclosures. Step 05: Click Submit to apply for benefits. Application Process to Track/Update: Step 01: Visit the online Portal: https://megbocwwb.gov.in/bocw_services/login.htm ﻿ Step 02: Enter your User ID (Registered Mobile Number), Password and Enter Security Code. Click on Login. Step 03: From the menu, click on ‘Track Application Status’. Step 04: Click on ‘View Details’ to view your application. Step 05: Click on ‘Application History’ to view the application history. Step 06: Click on ‘Update’ to update your application. Note: Once your application is under process or processed, you cannot update it. (Worker’s User Manual )","Enclosures required for New Registration under MBOCWWB: Photograph of the worker ID Proof of worker (Electoral Card, Ration Card, Driver's License, Aadhaar Card, Passport are acceptable) Employer Certificate/Self Certification (Issued Either by the Labour Inspector or the Employer or SDO/AEE of Works Department) Bank Passbook of the worker eShram ID card, if any Age proof of concerned building worker/applicant i.e. School certificate, Certificate from the Registrar of Birth and Deaths, Certificate from the Medical Officer not below the rank of an Assistant Surgeon in Government Service, Electoral Photo Identity Card Nomination Form duly signed by the applicant Self-declaration towards non-enrolment as a member of any other welfare fund/ board SC/ST Certificate (if applicable) Any other documents as required Enclosures required for application of Medical Assistance: MBOCWWB ID Card Medical Certificate of disability issued by the Chief Medical Officer Employer Certificate Medical Challans/Receipts/Bills from the Hospital concern during the Stay Discharge Slip Challan/Receipt of the last Monthly Subscription paid Any other documents as required",State,"Health & Wellness, Social welfare & Empowerment",,"Medical, Building Worker, Construction Worker, Financial Assistance, Labour, Accident, Disease",,,,
Medical Assistance (NBOCWWB),manbocwwb,"The ""Medical Assistance"" scheme launched by the Nagaland Building and Other Construction Workers' Welfare Board provides financial assistance to registered beneficiaries and their family members for hospitalization. ₹1,000/- per day is provided for the first five days of hospitalization, followed by ₹500/- per day for up to 10 more days.","₹1,000/- per day for the first five days of hospitalization. ₹500/- per day for the next 10 days (up to 15 days total).",The construction worker should be registered under the Nagaland Building and Other Construction Workers' Welfare Board. The spouse and children of the construction worker are also eligible for financial assistance. The applicant should be hospitalized for at least five continuous days for assistance.,"Step-1: The interested applicant should visit (during office hours) the Nagaland Building and Other Construction Workers' Welfare Board and request a hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Assistant Labour Commissioner. Step-4: Request a receipt or acknowledgement from the Assistant Labour Commissioner to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Registration Card under the NBOCWWB. Aadhaar Card of the applicant. Admission and Discharge Summary (issued by the Medical Officer of the Hospital). Bank Account Pass Book. Any Other Documents if required.,State,Health & Wellness,,"Financial Assistance, Medical Treatment, Construction Worker",,,,
